transaction_id,order_date,customer_id,customer_email,credit_card,territory,product_category,sales_channel,payment_method,quantity,unit_price,gross_amount,legacy_status,source_system
LEG-000001,2022-10-09,93810,customer93810@example.com,4013389083863794,ES,home,partner,paypal,12,46.76,$561.10,ok,pos
LEG-000002,not_available,15695,customer15695@mail.net,4034131647525534,UK,books,mobile,wire,9,N/A,GBP 3650.01,unknown,crm
LEG-000003,2022/08/05 18:00:00,51347,customer51347@legacy.local,5724238849696532,ES,electronics,mobile,wire,2,1004.41,2008.82 EUR,manual_review,pos
LEG-000004,2023/11/30 17:00:00,11504,customer11504@example.com,4704828148932528,IT,books,store,cash,,1701.51,USD 3403.02,ok,crm
LEG-000005,07/11/2023,79822,customer79822@mail.net,5383465787133150,PT,electronics,web,card,3,1276.78,USD 3830.34,unknown,batch_import
LEG-000006,2023-04-30,84847,customer84847@retail.org,5701065133387262,PT,electronics,partner,card,4,720.79,EUR 2883.18,pending,batch_import
LEG-000007,2023/01/24 00:00:00,62565,customer62565@retail.org,5234309805009788,IT,home,web,card,3,1504.23,4512.70 EUR,pending,crm
LEG-000008,2022/09/25 06:00:00,86503,customer86503@legacy.local,4475107991183842,ES,sports,store,wire,6,471.38,2828.31 USD,ok,pos
LEG-000009,21/07/2023,27601,customer27601@mail.net,5874016400524278,,electronics,mobile,card,2,663.00,EUR 1326.01,unknown,pos
LEG-000010,2023/11/30 07:00:00,15229,customer15229@retail.org,4322602563421607,DE,home,mobile,card,4,1123.78,$4495.13,unknown,batch_import
LEG-000011,2022/09/25 05:00:00,53404,customer53404@example.com,5556981693406088,UK,home,store,cash,2,2348.24,4696.49 USD,ok,pos
LEG-000012,22-07-2023 04:00,52753,customer52753@legacy.local,5680443699577738,UK,electronics,store,paypal,-1,403.00,EUR 2014.99,pending,erp
LEG-000013,12/04/2023,72277,customer72277@retail.org,4201632870831727,IT,fashion,partner,cash,2,1529.15,USD 3058.31,unknown,batch_import
LEG-000014,2022-10-06,20155,customer20155@legacy.local,5231665876036690,IT,electronics,store,paypal,4,892.29,3569.16 USD,pending,batch_import
LEG-000015,27-11-2023 12:00,13804,customer13804@legacy.local,4699016272046537,DE,fashion,store,card,11,177.03,€1947.34,pending,crm
LEG-000016,21/01/2022,14067,customer14067@retail.org,4745299124190496,UK,books,mobile,card,4,1187.08,GBP 4748.31,ok,pos
LEG-000017,2022-01-13,19038,customer19038@retail.org,5262849877694531,DE,fashion,partner,paypal,,422.05,€2532.27,unknown,pos
LEG-000018,15-07-2022 02:00,46211,customer46211@retail.org,4777014363495788,UK,sports,partner,paypal,9,309.02,GBP 2781.18,pending,erp
LEG-000019,04/09/2023,87278,customer87278@mail.net,4408240084271094,DE,electronics,store,cash,9,542.57,4883.15 USD,ok,erp
LEG-000020,02/05/2022,49824,customer49824@retail.org,5496499091334123,ES,fashion,partner,cash,4,107.62,£430.48,ok,erp
LEG-000021,12/03/2023,91927,customer91927@mail.net,4024994717464887,,fashion,store,paypal,,737.75,2951.00 GBP,ok,pos
LEG-000022,29-03-2023 08:00,32962,customer32962@retail.org,5565512567468071,FR,fashion,web,cash,11,214.10,$2355.15,manual_review,crm
LEG-000023,,47752,customer47752@legacy.local,5808613171274846,DE,books,mobile,cash,12,182.78,GBP 2193.39,unknown,batch_import
LEG-000024,02-11-2022 18:00,45018,customer45018@legacy.local,5558867533963605,UK,fashion,partner,wire,5,,£4103.64,ok,batch_import
LEG-000025,not_available,12011,customer12011@mail.net,5158657809134316,UK,electronics,partner,wire,7,516.23,EUR 3613.61,unknown,pos
LEG-000026,04-07-2022 05:00,79621,customer79621@legacy.local,4374740748217594,DE,fashion,store,wire,11,187.56,2063.20 EUR,unknown,pos
LEG-000027,2023-08-03,96275,customer96275@retail.org,5395339421047095,ES,sports,partner,wire,1,1982.05,$1982.05,pending,pos
